age	len
5	53
5	52
5	53
6	58
5	56
5	57
5	54
5	52
11	80
9	77
7	73
5	49
5	64
5	57
5	57
4	45
4	43
5	47
5	51
5	52
5	54
4	47
5	46
5	53
5	52
5	52
5	58
7	66
5	45
5	50
5	45
5	62
5	50
8	79
5	58
5	54
5	58
4	43
5	48
5	51
5	44
5	45
5	50
8	75
4	42
5	59
5	56
4	44
3	35
4	41
7	54
5	49
5	52
4	43
5	47
4	40
5	49
5	48
4	48
4	43
4	48
3	39
5	54
5	46
9	76
4	43
2	29
2	27
2	27
2	27
2	27
2	29
2	31
2	31
3	35
4	42
4	46
5	51
5	56
4	42
5	45
8	67
4	42
2	26
5	49
4	40
4	44
4	42
5	49
5	48
5	55
5	51
5	52
5	48
8	66
5	50
4	43
5	52
4	43
4	45
2	23
5	51
4	43
4	43
4	39
5	54
3	37
3	36
4	40
5	56
4	44
5	54
5	58
1	15
1	15
1	15
1	14
2	26
2	27
2	26
2	27
3	33
2	27
2	27
2	24
2	25
2	28
2	25
2	27
2	23
2	29
2	25
2	26
2	28
2	26
2	25
2	25
2	27
5	56
7	64
5	48
8	70
5	58
2	27
3	38
2	25
2	27
2	28
2	28
3	32
2	28
2	26
2	26
2	28
2	29
2	28
2	25
2	27
2	26
2	24
2	25
2	24
2	26
2	27
2	24
2	27
2	28
2	28
2	31
2	34
3	33
2	28
2	31
2	27
2	30
2	24
2	29
2	26
2	26
2	29
5	47
5	57
5	50
5	58
2	26
2	25
4	47
3	36
2	28
2	27
4	41
2	30
5	56
2	25
3	42
5	51
3	34
4	43
4	42
4	43
2	27
4	43
3	37
2	27
2	24
5	49
5	51
5	46
1	12
3	38
5	57
5	54
4	49
5	46
5	60
11	56
1	15
2	28
3	38
2	26
2	25
3	38
3	38
4	45
3	35
5	50
4	50
2	27
3	39
3	42
2	31
2	26
3	38
4	44
3	39
5	61
3	34
3	37
4	46
5	54
5	54
4	44
5	62
5	50
4	44
2	25
2	25
2	29
3	37
3	38
2	30
5	55
2	27
3	42
3	39
8	69
4	53
3	40
4	55
4	55
4	51
4	54
4	55
4	51
9	68
4	56
2	28
4	43
2	29
5	58
2	24
2	28
4	53
2	31
4	52
4	51
5	57
5	55
5	55
5	55
2	26
7	66
4	48
4	43
5	53
5	58
2	29
2	27
6	58
8	75
7	64
4	45
5	53
5	46
6	53
6	57
4	44
5	59
2	28
2	26
2	26
2	26
7	51
7	59
2	24
2	26
2	25
2	28
2	29
2	26
2	30
2	26
2	27
2	28
2	24
5	54
1	13
4	46
2	25
2	29
1	13
2	24
4	46
5	54
2	32
5	57
4	48
4	47
4	49
1	13
2	25
2	24
2	27
2	24
2	25
2	25
2	25
2	27
2	26
2	26
2	25
2	25
5	54
2	26
4	46
6	64
9	73
1	13
2	27
2	27
2	23
4	50
2	25
2	23
2	27
2	24
2	27
2	26
2	28
3	37
2	26
4	45
5	53
4	44
4	48
4	46
4	47
2	33
4	50
3	38
3	40
4	48
5	56
2	28
4	50
5	48
5	53
1	12
1	13
2	28
2	27
5	56
2	29
2	29
3	39
4	41
4	53
4	48
1	12
1	14
1	13
1	13
1	12
1	14
2	29
2	27
2	27
2	27
2	28
4	44
2	26
2	27
2	27
2	25
2	28
2	27
2	27
2	25
2	24
2	26
2	30
2	28
5	47
7	52
5	46
2	28
7	55
6	48
7	56
9	60
2	28
7	59
5	51
8	70
9	60
2	17
1	11
5	59
5	54
5	56
5	56
7	70
5	54
5	58
4	51
8	57
7	51
2	27
2	25
2	25
2	23
2	27
2	25
2	23
2	27
2	26
2	24
2	28
2	26
2	26
2	27
2	26
2	27
2	22
2	29
2	25
7	65
1	17
1	14
1	17
1	14
1	14
2	28
11	89
16	72
1	16
1	13
1	16
7	69
3	36
4	46
1	16
1	14
2	25
2	28
2	28
3	34
2	32
2	29
2	33
3	41
5	58
4	57
6	74
4	46
4	48
4	56
4	59
4	56
6	69
4	53
3	39
4	52
3	42
4	50
4	54
1	18
2	29
2	27
2	29
2	33
4	50
4	57
2	30
3	44
3	41
4	43
11	71
4	50
6	65
3	38
4	43
3	38
3	40
5	56
4	50
4	47
4	53
5	60
6	57
3	39
2	27
2	28
3	35
5	51
3	34
4	48
4	47
4	52
4	47
4	50
4	45
4	43
3	37
4	49
2	28
2	27
2	26
2	28
2	25
2	30
2	28
4	47
4	48
4	43
4	45
3	43
5	58
2	32
3	41
2	30
2	32
3	40
3	40
3	40
4	56
4	48
12	70
4	50
4	49
4	44
3	41
3	43
4	46
3	42
1	16
5	64
7	67
4	54
3	48
3	40
3	41
2	27
2	26
3	40
3	36
3	37
6	57
4	45
3	33
3	42
3	38
7	74
3	38
3	38
3	40
4	45
3	39
3	40
4	36
4	48
2	26
2	26
3	37
3	42
3	35
3	44
3	39
4	49
3	32
3	36
3	38
3	37
5	67
3	41
4	35
5	57
5	49
3	42
4	48
2	27
2	28
5	53
10	79
2	26
2	29
2	27
2	29
2	29
2	27
2	25
2	30
2	26
2	26
2	27
2	30
2	28
2	26
3	36
2	26
2	27
3	35
2	29
2	27
2	26
2	25
2	27
3	35
4	48
3	36
4	42
3	37
3	39
3	41
6	50
4	46
8	75
9	67
13	80
9	71
4	51
4	53
3	41
3	39
3	38
3	40
3	39
5	60
6	74
4	53
3	37
3	39
3	41
3	39
3	37
3	40
5	58
4	52
4	50
4	45
5	66
5	47
5	58
7	60
5	55
4	50
3	38
5	46
7	69
5	55
1	16
1	15
2	29
3	39
4	43
5	46
5	59
7	62
8	72
8	70
3	41
5	64
7	76
8	65
10	78
6	61
7	67
9	76
8	69
8	62
6	74
4	48
5	63
5	60
9	74
4	47
4	44
4	48
5	56
5	49
5	54
5	50
3	37
5	60
4	45
6	71
5	48
7	68
5	44
5	49
5	58
5	59
7	67
5	57
4	42
1	13
1	14
2	23
2	28
2	23
3	36
3	36
2	22
2	22
4	46
3	36
4	40
5	55
2	21
2	24
2	25
2	26
2	24
2	24
2	23
2	26
2	27
2	24
2	26
2	23
2	28
2	25
4	49
2	29
5	50
4	46
5	48
5	60
1	12
2	24
2	26
2	26
5	54
2	27
2	21
4	43
2	22
2	27
2	26
2	23
2	25
2	21
2	20
2	26
4	43
3	35
4	41
3	39
2	25
2	27
2	27
2	28
4	42
13	86
2	22
2	27
2	21
2	28
2	22
2	23
2	20
2	26
5	50
4	45
4	42
2	24
2	22
2	20
2	21
2	24
2	23
2	25
2	22
2	26
2	22
9	75
5	58
4	48
4	41
4	38
2	23
2	23
2	22
2	27
2	27
2	22
2	24
2	25
2	24
2	27
2	23
2	25
2	23
2	25
2	25
4	43
2	23
2	26
2	24
2	23
2	26
2	24
1	12
1	15
3	42
3	41
4	49
2	30
2	28
2	27
2	29
2	29
2	25
2	28
2	28
2	30
2	28
2	26
2	28
2	29
2	32
4	47
2	29
4	48
2	28
2	30
2	32
8	71
9	66
2	22
2	28
2	28
2	27
2	25
5	55
5	53
5	55
2	23
2	24
2	26
2	26
2	23
8	75
5	55
2	24
5	57
8	77
7	63
1	16
8	60
2	24
2	30
3	41
4	39
2	26
2	23
2	27
2	27
4	45
3	37
2	28
2	27
4	52
4	52
2	25
2	26
2	29
2	34
5	57
4	51
3	36
4	47
2	27
3	39
2	18
2	27
2	27
2	28
2	29
3	37
5	58
5	53
4	47
5	48
5	59
5	61
4	53
2	26
2	27
2	26
2	25
2	27
3	36
7	56
4	49
4	49
1	15
1	15
2	27
5	56
8	69
3	47
5	57
4	43
3	37
3	40
3	38
5	52
5	51
8	67
3	38
5	46
5	54
4	47
5	44
4	50
5	60
5	52
4	48
5	49
5	42
5	47
3	34
6	73
5	49
3	36
3	42
5	47
10	81
5	52
5	44
3	38
5	57
5	52
4	43
2	25
2	26
5	42
5	54
5	51
4	47
5	48
8	45
6	67
5	53
3	39
5	69
5	67
6	75
12	72
7	72
5	59
5	49
4	49
9	59
2	23
5	46
5	45
5	48
7	63
5	51
5	48
5	51
5	51
8	62
4	46
7	61
3	40
4	50
6	59
5	44
4	47
4	45
5	51
5	53
5	54
5	50
5	50
5	49
6	60
6	60
6	58
7	67
3	38
3	39
2	29
3	38
2	22
2	25
2	23
4	34
3	39
9	72
4	59
5	55
5	56
5	51
3	44
5	59
2	23
4	47
3	37
2	24
3	41
3	36
2	24
3	41
3	37
3	39
5	52
3	36
5	52
5	53
3	41
4	43
5	46
5	49
4	41
4	50
5	59
5	56
3	35
4	41
4	45
5	51
3	39
3	36
3	32
3	36
3	33
2	24
3	31
3	38
3	39
2	26
3	25
3	34
3	34
3	33
3	36
2	24
3	37
2	25
3	36
3	34
4	43
3	36
3	35
3	39
3	34
2	39
3	36
3	33
2	32
3	31
3	32
3	32
2	28
2	27
2	28
2	24
2	25
3	34
2	27
2	30
2	26
3	35
3	38
3	36
2	26
3	38
3	36
3	36
3	32
5	39
6	46
2	29
2	24
11	54
3	33
4	45
4	46
3	34
3	33
3	36
3	32
2	25
2	27
2	29
5	48
5	51
5	54
7	53
4	54
2	26
2	26
2	26
3	33
3	36
3	40
4	44
3	38
3	38
3	38
3	35
4	44
4	43
6	55
3	40
4	45
3	33
3	37
4	46
4	48
4	48
3	38
4	47
5	48
3	38
2	23
2	28
3	36
4	42
4	45
5	48
5	53
5	50
1	14
1	13
1	14
4	45
3	34
3	39
3	34
4	44
5	52
4	45
4	48
5	48
4	45
5	53
4	44
3	38
8	83
5	51
2	29
2	29
2	26
3	40
6	64
5	50
5	51
4	46
5	53
4	45
5	50
4	49
5	58
4	56
3	39
7	73
2	27
2	27
1	15
2	27
2	27
2	29
2	27
2	28
3	37
2	29
2	27
2	27
2	27
2	27
2	26
2	24
2	27
4	46
4	48
2	27
4	44
5	45
2	28
2	27
4	46
2	28
2	28
2	29
2	28
2	26
2	25
2	28
2	26
2	27
2	27
3	39
3	38
3	36
3	37
3	41
3	35
3	41
5	41
4	44
5	48
3	36
3	39
3	37
4	47
4	41
7	55
3	39
3	37
5	45
3	41
3	38
3	40
3	38
3	39
4	46
6	58
6	71
4	49
4	52
3	36
3	43
6	65
4	50
2	26
2	29
2	29
2	27
2	27
3	38
3	39
2	28
2	27
4	47
3	39
4	41
7	79
12	70
7	74
5	60
5	55
7	72
3	36
13	82
4	51
5	57
9	80
10	73
7	63
6	67
4	45
